Name,MaterialType,TotalLength,Diameter,Density,BrinellHardness,ImpactVelocity
125mm 3BM70 "Vacuum-2",Tungsten,775,25.5,17500,237,1.75
125mm 3BM69 "Vacuum-1",DU,775,25.5,18600,237,1.75
125mm 3BM60 "Svinets-2",Tungsten,660,20,17500,237,1.66
125mm 3BM59 "Svinets-1",DU,660,20,18600,237,1.66
125mm 3BM46 "Svinets",DU,546,25,18600,237,1.7
125mm 3BM42M "Lekalo",Tungsten,610,20,17500,237,1.7
125mm 3BM42 "Mango",Tungsten,452,18,17500,237,1.7
120mm AKE-T,Tungsten,710,23,17500,237,1.65
120mm M829A4,DU,710,23,18600,237,1.65
120mm KEW-A4,Tungsten,685,23,17500,237,1.65
120mm KE-T,Tungsten,690,25,17500,237,1.555
120mm KEW-A3,Tungsten,690,22,17500,237,1.7
120mm KEW-A2,Tungsten,690,22,17500,237,1.7
120mm M829A3,DU,690,25,18600,237,1.555
120mm KEW-A1,Tungsten,600,26,17500,237,1.74
120mm KEW,Tungsten,680,22,17500,237,1.569
120mm M829A2,DU,690,21,18600,237,1.68
120mm M829A1,DU,680,22,18600,237,1.575
120mm M829,DU,460,27,18600,237,1.67
120mm DMX3,Tungsten,760,25,17500,237,1.75
120mm DM73,Tungsten,685,23,17500,237,1.78
120mm DM63,Tungsten,685,23,17500,237,1.65
120mm DM53,Tungsten,685,23,17500,237,1.65
120mm DM43,Tungsten,600,22,17500,237,1.74
120mm DM33,Tungsten,510,25,17500,237,1.64
120mm DM23,Tungsten,360,32,17500,237,1.64
120mm DM13,Tungsten,315,26,17500,237,1.65
120mm L28A1,Tungsten,600,25,17500,237,1.585
120mm L27A1,DU,600,25,18600,237,1.585
120mm L26A1,DU,480,26,18600,237,1.55
120mm L23A1,Tungsten,400,30,17500,237,1.535
120mm SHARD Mk.1,Tungsten,750,24,17500,237,1.72
120mm Procipac APFSDS,DU,0,0,18600,237,1.78
120mm OFL 120 F2,DU,594,27,18600,237,1.74
120mm OFL 120 F1,Tungsten,600,26,17500,237,1.74
120mm OFL 120 G1,Tungsten,380,26,17500,237,1.65
120mm M338,Tungsten,0,25,17500,237,1.68
120mm M322,Tungsten,650,24,17500,237,1.705
120mm M321,Tungsten,0,0,17500,237,1.65
125mm M711/8,Tungsten,0,0,17500,237,1.66
125mm M711,Tungsten,0,0,17500,237,1.69
125mm DTC201,Tungsten,650,22,17500,237,1.86
125mm DTC10-125,DU,640,22,18600,237,1.76
125mm DTW-125 / BTA4,Tungsten,600,24,17500,237,1.74
125mm 125-IIM,Tungsten,600,26,17500,237,1.7
125mm 125-I,DU,432,26,18600,237,1.73
120mm PTZ-89II,Tungsten,0,0,17500,237,1.66
120mm K279,Tungsten,690,20,17500,237,1.76
120mm K276,Tungsten,625,24,17500,237,1.7
120mm Type 10,Tungsten,630,24,17500,237,1.8
115mm 3BM28,DU,0,0,18600,237,0
115mm 3BM21,Tungsten,0,0,17500,237,0
100mm 3BM25,Tungsten,0,0,18600,237,0
105mm M900,DU,603,23,18600,237,1.505
105mm M833,DU,427,24,18600,237,1.485
105mm M774,DU,345,26,18600,237,1.508
105mm M735,Tungsten,309,32,17500,237,1.501
105mm C76A1,Tungsten,0,26,17500,237,0
105mm DM63,Tungsten,566,25,17500,237,1.455
105mm DM33,Tungsten,510,24.7,17500,237,1.455
105mm DM23,Tungsten,328,32,17500,237,1.455
105mm M428 SWORD,Tungsten,650,24,17500,237,1.505
105mm M426,Tungsten,566,25,17500,237,1.455
105mm M413,Tungsten,510,24.7,17500,237,1.455
105mm M111,Tungsten,328,32,17500,237,1.455
100mm M309,Tungsten,0,0,17500,237,1.4
105mm OFL 105 G1,Tungsten,375,19,17500,237,1.455
105mm OFL 105 F1,Tungsten,380,26,17500,237,1.455
105mm DTC02-105 / BTA2,Tungsten,0,0,17500,237,1.54
105mm DTW2,Tungsten,0,0,17500,237,1.53
105mm DTW1,Tungsten,330,28,17500,237,1.455
105mm BTA2,Tungsten,0,0,17500,237,1.54
105mm K274N ,Tungsten,600,18,17500,237,1.54
105mm K274,Tungsten,531,24,17500,237,1.495
90mm K241,Tungsten,306,32,17500,237,1.332
105mm Type 93?,Tungsten,485,21.6,17500,237,1.501
152mm Grifel super high end,Tungsten,942,31,17500,237,1.98
152mm Grifel High End,Tungsten,860,28,17500,237,1.98
152mm Grifel Low End,Tungsten,834,27,17500,237,1.98
140mm ASCALON High End,Tungsten,934,24,17500,237,1.8
140mm ASCALON Mid,Tungsten,934,24,17500,237,1.75
140mm ASCALON Low End,Tungsten,934,24,17500,237,1.7